"Word","Length","Freq_HAL","Log_Freq_HAL","POS"
"masseuse","8","94","4.543","NN"
"massing","7","109","4.691","VB"
"massive","7","13,351","9.499","JJ|NN"
"mast","4","1,614","7.386","NN"
"mastectomy","10","128","4.852","NN"
"master","6","54,412","10.904","NN|VB"
"mastered","8","1,665","7.418","VB"
"masterful","9","300","5.704","JJ"
"masterfully","11","120","4.787","RB"
"mastering","9","2,477","7.815","VB"
"masterly","8","37","3.611","JJ"
"mastermind","10","404","6.001","NN|VB"
"masterminding","13","60","4.094","VB|NN"
"masterpiece","11","2,362","7.767","NN"
"masterpieces","12","897","6.799","NN"
"masters","7","11,143","9.319","NN|VB"
"master's","8","3,198","8.070","encl"
"mastership","10","88","4.477","NN"
"mastery","7","1,337","7.198","NN"
"masthead","8","192","5.257","NN"
"masticate","9","7","1.946","VB"
"mastication","11","14","2.639","NN"
"mastiff","7","340","5.829","NN"
"mastodon","8","39","3.664","NN"
"mastodons","9","24","3.178","NN"
"masts","5","221","5.398","NN"
"masturbate","10","1,208","7.097","VB"
"masturbation","12","1,937","7.569","NN"
"mat","3","3,514","8.165","NN"
"matador","7","425","6.052","NN"
"match","5","35,069","10.465","NN|VB"
"matchbox","8","431","6.066","NN"
"matched","7","3,987","8.291","VB|JJ"
"matches","7","12,402","9.426","VB|NN"
"matching","8","8,138","9.004","VB|NN"
"matchless","9","85","4.443","JJ"
"matchmaker","10","206","5.328","NN"
"matchmaking","11","228","5.429","VB|NN|JJ"
"matchstick","10","51","3.932","NN"
"matchwood","9","0","0.000","NN"
"mate","4","5,179","8.552","NN|VB"
"mated","5","371","5.916","VB"
"material","8","59,366","10.991","NN|JJ"
"materialism","11","528","6.269","NN"
"materialist","11","240","5.481","NN|JJ"
"materialistic","13","526","6.265","JJ"
"materialization","15","66","4.190","NN"
"materialize","11","508","6.230","VB"
"materialized","12","361","5.889","VB"
"materially","10","297","5.694","RB"
"materials","9","27,364","10.217","NN"
"material's","10","37","3.611","encl"
"maternal","8","984","6.892","JJ"
"maternity","9","637","6.457","NN"
"mates","5","1,943","7.572","NN|VB"
"matey","5","130","4.868","JJ"
"math","4","18,404","9.820","NN"
"mathematical","12","8,301","9.024","JJ"
"mathematically","14","1,049","6.956","RB"
"mathematician","13","1,716","7.448","NN"
"mathematics","11","11,777","9.374","NN"
"Matilda","7","614","6.420","NN"
"matinee","7","310","5.737","NN"
"mating","6","1,482","7.301","NN|VB"
"Matisse","7","190","5.247","NN"
"matriarch","9","99","4.595","NN"
"matriarchal","11","603","6.402","JJ"
"matriarchy","10","67","4.205","NN"
"matricide","9","5","1.609","NN"
"matriculate","11","18","2.890","VB"
"matriculated","12","32","3.466","VB|JJ"
"matriculation","13","38","3.638","NN"
"matrimonial","11","122","4.804","JJ"
"matrimony","9","155","5.043","NN"
"matrix","6","13,335","9.498","NN"
"matron","6","504","6.223","NN"
"mats","4","2,087","7.643","NN"
"Matt","4","25,398","10.142","NN"
"matted","6","483","6.180","VB|JJ"
"matter","6","110,274","11.611","NN|VB"
"mattered","8","822","6.712","VB"
"matters","7","19,164","9.861","NN|VB"
"Matthew","7","17,697","9.781","NN"
"matting","7","190","5.247","NN|VB"
"mattress","8","1,259","7.138","NN"
"mattresses","10","136","4.913","NN"
"maturate","8","0","0.000","VB"
"maturation","10","173","5.153","NN"
"maturational","12","1","0.000","JJ"
"mature","6","6,245","8.740","JJ|VB|NN"
"matured","7","577","6.358","VB"
"maturing","8","393","5.974","VB"
"maturities","10","139","4.934","NN"
"maturity","8","3,067","8.028","NN"
"maul","4","285","5.652","VB"
"mauler","6","101","4.615","#"
"mauling","7","73","4.290","VB|NN"
"Maureen","7","1,224","7.110","NN"
"Maurice","7","2,519","7.832","NN"
"Mauritania","10","197","5.283","NN"
"mausoleum","9","189","5.242","NN"
"mauve","5","288","5.663","JJ"
"maverick","8","1,058","6.964","NN"
"mavericks","9","573","6.351","NN"
"Max","3","24,879","10.122","NN"
"maxi","4","320","5.768","JJ"
"maxim","5","1,151","7.048","NN"
"maxima","6","877","6.777","NN"
"maximal","7","712","6.568","JJ"
"Maximilian","10","157","5.056","NN"
"maximization","12","118","4.771","NN"
"maximize","8","2,688","7.897","VB"
"maximized","9","445","6.098","VB"
"maximizes","9","239","5.476","VB"
"maximizing","10","555","6.319","VB"
"maximum","7","22,457","10.019","NN"
"maximums","8","142","4.956","NN"
"Maxine","6","317","5.759","NN"
"Maxine's","8","4","1.386","encl"
"Max's","5","201","5.303","encl"
"Maxwell","7","3,154","8.056","NN"
"Maxwell's","9","355","5.872","encl"
"may","3","536,229","13.192","VB|NN"
"Mayan","5","857","6.753","JJ|NN"
"Mayans","6","168","5.124","NN"
"maybe","5","166,009","12.020","RB|NN"
"mayday","6","168","5.124","NN|minor"
"Mayflower","9","214","5.366","NN"
"mayfly","6","20","2.996","NN"
"mayhem","6","976","6.883","NN"
"mayo","4","1,520","7.326","NN"
"mayonnaise","10","259","5.557","NN"
"mayor","5","4,322","8.371","NN"
"mayoral","7","93","4.533","JJ"
"mayor's","7","367","5.905","encl"
"maypole","7","25","3.219","NN"
"Mays","4","1,003","6.911","NN"
"maze","4","6,472","8.775","NN"
"McCarthyism","11","240","5.481","NN"
"me","2","1,303,959","14.081","minor"
"mead","4","1,693","7.434","NN"
"meadow","6","841","6.735","NN"
"meadows","7","1,311","7.179","NN"
"meager","6","771","6.648","JJ"
"meal","4","6,528","8.784","NN"
"meals","5","4,000","8.294","NN"
"mealtime","8","77","4.344","NN"
"mealy","5","172","5.147","JJ"
"mealybug","8","16","2.773","NN"
"mean","4","151,693","11.930","VB|NN"
"meander","7","97","4.575","VB|NN"
"meandered","9","57","4.043","VB"
"meandering","10","174","5.159","VB"
"meanest","7","199","5.293","JJ"
"meanie","6","65","4.174","NN"
"meaning","7","31,933","10.371","NN|VB"
"meaningful","10","6,235","8.738","JJ"
"meaningfully","12","354","5.869","RB"
"meaningfulness","14","47","3.850","NN"
"meaningless","11","5,617","8.634","JJ"
"meanings","8","3,328","8.110","NN"
"meanness","8","140","4.942","NN"
"means","5","130,928","11.782","VB|NN"
"meant","5","36,601","10.508","VB"
"meantime","8","5,417","8.597","NN|RB"
"meanwhile","9","8,437","9.040","RB"
"measles","7","1,099","7.002","NN"
"measly","6","570","6.346","JJ"
"measurable","10","1,054","6.960","JJ"
"measurably","10","91","4.511","RB"
"measure","7","19,777","9.892","NN|VB"
"measured","8","8,137","9.004","VB"
"measurement","11","6,219","8.735","NN"
"measurements","12","4,858","8.488","NN"
"measures","8","11,173","9.321","NN|VB"
"measuring","9","3,995","8.293","VB|NN"
"meat","4","14,861","9.606","NN"
"meatball","8","308","5.730","NN"
"meats","5","596","6.390","NN"
"meaty","5","341","5.832","JJ"
"Mecca","5","931","6.836","NN"
"mechanic","8","2,266","7.726","NN|JJ"
"mechanical","10","12,185","9.408","JJ"
"mechanically","12","910","6.813","RB"
"mechanics","9","10,041","9.214","NN"
"mechanic's","10","67","4.205","encl"
"mechanism","9","13,144","9.484","NN"
"mechanisms","10","5,405","8.595","NN"
"mechanistic","11","321","5.771","JJ"
"mechanization","13","82","4.407","NN"
"mechanize","9","15","2.708","VB"
"mechanized","10","279","5.631","JJ|VB"
"medal","5","3,315","8.106","NN"
"medallion","9","828","6.719","NN"
"medallions","10","115","4.745","NN"
"medallist","9","26","3.258","NN"
"medals","6","841","6.735","NN"
"meddle","6","571","6.347","VB|NN"
"meddlesome","10","36","3.584","JJ"
"meddling","8","621","6.431","VB|NN"
"media","5","58,004","10.968","NN"
"medial","6","167","5.118","JJ"
"median","6","1,803","7.497","JJ|NN"
"mediate","7","299","5.700","VB"
"mediating","9","183","5.209","VB|NN|JJ"
"mediation","9","880","6.780","NN"
"mediator","8","695","6.544","NN"
"medic","5","1,601","7.378","NN"
"medical","7","53,004","10.878","JJ|NN"
"medically","9","862","6.759","RB"
"Medicare","8","3,277","8.095","NN"
"medicate","8","83","4.419","VB"
"medication","10","3,624","8.195","NN"
"medicinal","9","904","6.807","JJ"
"medicine","8","19,795","9.893","NN"
"medicines","9","1,198","7.088","NN"
"medics","6","390","5.966","NN"
"medieval","8","4,207","8.345","JJ"
"mediocre","8","2,673","7.891","JJ"
"mediocrities","12","25","3.219","NN"
"mediocrity","10","640","6.461","NN"
"meditate","8","802","6.687","VB"
"meditated","9","225","5.416","VB"
"meditating","10","491","6.196","VB"
"meditation","10","5,031","8.523","NN"
"meditations","11","364","5.897","NN"
"meditative","10","311","5.740","JJ"
"Mediterranean","13","1,756","7.471","NN"
"medium","6","19,072","9.856","NN"
"mediums","7","488","6.190","NN"
"medium's","8","254","5.537","encl"
"medley","6","948","6.854","NN"
"meek","4","1,498","7.312","JJ"
"meeker","6","119","4.779","JJ"
"meekest","7","13","2.565","JJ"
"meekly","6","234","5.455","RB"
"meet","4","48,215","10.783","VB|NN"
"meeting","7","37,663","10.536","NN|VB"
"meetinghouse","12","5","1.609","NN"
"meetings","8","11,848","9.380","NN"
"meets","5","9,004","9.105","VB|NN"
"Meg","3","25,782","10.157","NN"
"megadeath","9","59","4.078","NN"
"megahertz","9","927","6.832","NN"
"megalith","8","26","3.258","NN"
"megalomania","11","158","5.063","NN"
"megalomaniac","12","157","5.056","NN"
"megaphone","9","288","5.663","NN"
"megaton","7","201","5.303","NN"
"megatons","8","68","4.220","NN"
"megawatt","8","159","5.069","NN"
"meiosis","7","47","3.850","NN"
"Mel","3","4,105","8.320","NN"
"melancholy","10","367","5.905","NN"
"melange","7","189","5.242","NN"
"Melbourne","9","5,821","8.669","NN"
"meld","4","629","6.444","VB"
"melee","5","1,257","7.136","NN"
"meliorate","9","0","0.000","VB"
"Melissa","7","4,561","8.425","NN"
"mellow","6","1,758","7.472","JJ|VB"
"mellowed","8","186","5.226","VB|JJ"
"melodic","7","1,048","6.955","JJ"
"melodically","11","44","3.784","RB"
"melodies","8","1,033","6.940","NN"
"melodious","9","126","4.836","JJ"
"melodrama","9","269","5.595","NN"
"melodramatic","12","294","5.684","JJ"
"melody","6","2,693","7.898","NN"
"melon","5","759","6.632","NN"
"melt","4","2,781","7.931","VB"
"melted","6","1,918","7.559","VB"
"melting","7","2,448","7.803","VB|NN"
"member","6","63,948","11.066","NN"
"members","7","78,648","11.273","NN"
"membership","10","19,118","9.858","NN"
"memberships","11","1,345","7.204","NN"
"membrane","8","1,781","7.485","NN"
"memento","7","131","4.875","NN"
"mementoes","9","6","1.792","NN"
"mementos","8","26","3.258","NN"
"memo","4","3,321","8.108","NN"
"memoir","6","365","5.900","NN"
"memoirs","7","738","6.604","NN"
"memorabilia","11","1,260","7.139","NN"
"memorable","9","1,954","7.578","JJ"
"memoranda","9","123","4.812","NN"
"memorandum","10","1,123","7.024","NN"
"memorial","8","4,749","8.466","NN"
"memorialize","11","32","3.466","VB"
"memorialized","12","27","3.296","VB|JJ"
"memorials","9","95","4.554","NN"
"memories","8","8,760","9.078","NN"
"memorization","12","317","5.759","NN"
"memorize","8","1,122","7.023","VB"
"memorized","9","835","6.727","VB"
"memorizing","10","315","5.753","VB"
"memory","6","114,930","11.652","NN"
"memos","5","532","6.277","NN"
"Memphis","7","4,487","8.409","NN"
"men","3","98,321","11.496","NN"
"menace","6","1,308","7.176","NN"
"menaced","7","46","3.829","VB"
"menacing","8","456","6.122","JJ|VB"
"menagerie","9","311","5.740","NN"
"menarche","8","23","3.135","NN"
"mend","4","357","5.878","VB|NN"
"mendacious","10","61","4.111","JJ"
"mendacity","9","62","4.127","NN"
"mended","6","120","4.787","VB"
"Mendel","6","313","5.746","NN"
"mending","7","210","5.347","VB"
"menfolk","7","24","3.178","NN"
"menial","6","256","5.545","JJ|NN"
"meninges","8","3","1.099","NN"
"meningitis","10","286","5.656","NN"
"Mennonite","9","197","5.283","JJ"
"Mennonites","10","55","4.007","#"
"menopause","9","260","5.561","NN"
"men's","5","6,041","8.706","encl"
"menstruate","10","39","3.664","VB"
"menstruation","12","225","5.416","NN"
"mental","6","18,663","9.834","JJ"
"mentalities","11","96","4.564","NN"
"mentality","9","3,397","8.131","NN"
"mentally","8","4,045","8.305","RB"
"menthol","7","49","3.892","NN"
"mention","7","49,939","10.819","VB|NN"
"mentioned","9","56,816","10.948","VB"
"mentioning","10","4,528","8.418","VB|NN"
"mentions","8","6,188","8.730","VB|NN"
"mentor","6","3,640","8.200","NN"
"menu","4","28,562","10.260","NN"
"menus","5","5,685","8.646","NN"
"meow","4","1,154","7.051","VB|NN|minor"
"Mephistopheles","14","1,047","6.954","NN"
"mercantile","10","352","5.864","JJ"
"Mercedes","8","2,789","7.933","NN"
"mercenaries","11","1,349","7.207","NN"
"mercenary","9","1,112","7.014","JJ|NN"
"mercer","6","1,521","7.327","NN"
"mercers","7","0","0.000","NN"
"merchandise","11","5,473","8.608","NN"
"merchandising","13","752","6.623","NN|VB"
"merchant","8","5,231","8.562","NN"
"merchants","9","1,893","7.546","NN"
"merciful","8","901","6.804","JJ"
"mercifully","10","303","5.714","RB"
"merciless","9","437","6.080","JJ"
"mercilessly","11","473","6.159","RB"
"mercurial","9","66","4.190","JJ"
"Mercury","7","8,121","9.002","NN|JJ"
"mercy","5","5,983","8.697","NN"
"mere","4","9,454","9.154","JJ"
"Meredith","8","1,380","7.230","NN"
"Meredith's","10","20","2.996","encl"
"merely","6","25,599","10.150","RB"
"merge","5","3,683","8.211","NN|VB"
"merged","6","1,880","7.539","VB"
"merger","6","1,651","7.409","NN"
"mergers","7","521","6.256","NN"
"merges","6","375","5.927","VB"
"merging","7","1,170","7.065","VB"
"meridian","8","1,324","7.188","NN"
"meringue","8","164","5.100","NN"
"merit","5","5,541","8.620","NN|VB"
"merited","7","172","5.147","VB|JJ"
"meritorious","11","202","5.308","JJ"
"merits","6","3,956","8.283","NN|VB"
"mermaid","7","1,604","7.380","NN"
"merman","6","119","4.779","NN"
"merriest","8","2","0.693","JJ"
"merrily","7","485","6.184","RB"
"merriment","9","212","5.357","NN"
"merry","5","1,879","7.538","JJ|NN"
"merrymaker","10","0","0.000","NN"
"merrymaking","11","12","2.485","NN|VB"
"mesa","4","5,954","8.692","NN"
"mescal","6","24","3.178","NN"
"mescalin","8","1","0.000","#"
"mesh","4","1,955","7.578","NN|VB"
"mesmeric","8","412","6.021","JJ"
"mesmerize","9","20","2.996","VB"
"mesmerized","10","271","5.602","VB|JJ"
"mess","4","13,190","9.487","NN|VB"
"message","7","247,136","12.418","NN"
"messages","8","64,553","11.075","NN"
"messed","6","3,669","8.208","VB"
"messenger","9","2,405","7.785","NN"
"messengers","10","594","6.387","NN"
"messes","6","740","6.607","NN|VB"
"Messiah","7","4,703","8.456","NN"
"messing","7","2,319","7.749","VB"
"messy","5","2,444","7.801","JJ"
"met","3","33,944","10.432","VB|NN"
"metabolic","9","871","6.770","JJ"
"metabolism","10","1,759","7.473","NN"
"metabolize","10","156","5.050","VB"
"metabolized","11","113","4.727","VB"
"metacarpal","10","7","1.946","JJ|NN"
"metal","5","28,116","10.244","NN"
"metallic","8","1,878","7.538","JJ"
"metallurgy","10","347","5.849","NN"
"metals","6","2,729","7.912","NN"
"metalsmiths","11","9","2.197","#"
"metalwork","9","45","3.807","NN"
"metalworking","12","108","4.682","NN|VB"
"metamorphic","11","107","4.673","JJ"
"metamorphose","12","44","3.784","VB"
"metamorphosed","13","43","3.761","VB"
"metamorphosis","13","2,149","7.673","NN"
"metaphor","8","2,520","7.832","NN"
"metaphorical","12","454","6.118","JJ"
"metaphors","9","826","6.717","NN"
"metaphysic","10","109","4.691","NN"
"metaphysical","12","1,342","7.202","JJ"
"metaphysics","11","886","6.787","NN"
"metatarsal","10","11","2.398","JJ|NN"
"meteor","6","1,286","7.159","NN"
"meteoric","8","121","4.796","JJ"
"meteorite","9","252","5.529","NN"
"meteorites","10","188","5.236","NN"
"meteoroid","9","9","2.197","NN"
"meteorological","14","926","6.831","JJ"
"meteorology","11","1,358","7.214","NN"
"meteors","7","241","5.485","NN"
"meter","5","8,212","9.013","NN|VB"
"metered","7","273","5.609","VB"
"metering","8","737","6.603","VB"
"meters","6","6,206","8.733","NN|VB"
"methane","7","574","6.353","NN"
"methanol","8","697","6.547","NN"
"method","6","49,828","10.816","NN"
"methodical","10","317","5.759","JJ"
"methodically","12","219","5.389","RB"
"Methodism","9","14","2.639","NN"
"Methodist","9","827","6.718","NN"
"Methodists","10","117","4.762","NN"
"methodological","14","357","5.878","JJ"
"methodology","11","4,465","8.404","NN"
"methods","7","33,831","10.429","NN"
"methyl","6","421","6.043","NN"
"meticulous","10","485","6.184","JJ"
"meticulously","12","507","6.229","RB"
"metric","6","3,477","8.154","JJ|NN"
"metrical","8","51","3.932","JJ"
"metrically","10","38","3.638","RB"
"metro","5","7,039","8.859","NN"
"metronome","9","411","6.019","NN"
"metropolis","10","990","6.898","NN"
"metropolitan","12","3,399","8.131","JJ|NN"
"metropolitanization","19","0","0.000","#"
"Mets","4","1,347","7.206","#"
"mettle","6","142","4.956","NN"
"mettlesome","10","2","0.693","JJ"
"mew","3","135","4.905","NN|VB"
"mewed","5","22","3.091","VB"
"Mexican","7","12,500","9.433","JJ|NN"
"Mexicans","8","1,325","7.189","NN"
"Mexico","6","27,758","10.231","NN"
"Mexico's","8","1,342","7.202","encl"
"mezzanine","9","126","4.836","NN"
"mezzo","5","193","5.263","NN|JJ"
"Miami","5","9,295","9.137","NN"
"Miami's","7","101","4.615","#"
"miasmal","7","1","0.000","JJ"
"mica","4","409","6.014","NN"
"mice","4","4,181","8.338","NN"
"Michael","7","101,213","11.525","NN"
"Michael's","9","1,055","6.961","encl"
"Michelangelo","12","286","5.656","NN"
"Michelangelo's","14","56","4.025","#"
"Michigan","8","18,979","9.851","NN"
"Mickey","6","4,725","8.461","NN"
"Mickey's","8","584","6.370","encl"
"microanalysis","13","21","3.045","NN"
"microbe","7","93","4.533","NN"
"microbial","9","280","5.635","JJ"
"microbiology","12","1,107","7.009","NN"
"microchemistry","14","2","0.693","NN"
"microcosm","9","414","6.026","NN"
"microfiche","10","462","6.136","NN"
"microfilm","9","589","6.378","NN|VB"
"micrometer","10","190","5.247","NN"
"micrometers","11","55","4.007","NN"
"micron","6","2,427","7.794","NN"
"microns","7","361","5.889","NN"
"microorganism","13","45","3.807","NN"
"microorganisms","14","281","5.638","NN"
"microphone","10","3,685","8.212","NN"
"microphones","11","727","6.589","NN"
"microphoning","12","0","0.000","VB"
"microscope","10","1,171","7.066","NN"
"microscopes","11","215","5.371","NN"
"microscopic","11","1,074","6.979","JJ"
"microscopical","13","7","1.946","JJ"
"microscopically","15","32","3.466","RB"
"microscopy","10","450","6.109","NN"
"microsecond","11","246","5.505","NN"
"microseconds","12","612","6.417","NN"
"microwave","9","4,362","8.381","NN"
"microwaves","10","674","6.513","NN"
"midair","6","269","5.595","NN"
"Midas","5","403","5.999","NN"
"midday","6","373","5.922","NN|RB|JJ"
"middle","6","45,179","10.718","NN|JJ"
"middlebrow","10","13","2.565","JJ|NN"
"middleman","9","279","5.631","NN"
"middles","7","69","4.234","NN"
"middleweight","12","90","4.500","NN|JJ"
"middling","8","85","4.443","JJ"
"midge","5","167","5.118","NN"
"midget","6","595","6.389","NN"
"midland","7","795","6.678","NN"
"midmorning","10","15","2.708","JJ|RB"
"midmost","7","0","0.000","JJ"
"midnight","8","11,426","9.344","NN"
"midpoint","8","309","5.733","NN"
"midriff","7","60","4.094","NN"
"midship","7","13","2.565","NN"
"midshipman","10","75","4.317","NN"
"midshipmen","10","60","4.094","NN"
"midst","5","2,424","7.793","NN"
"midstream","9","66","4.190","NN"
"midsts","6","13","2.565","NN"
"midsummer","9","244","5.497","NN"
"midway","6","1,997","7.599","RB|JJ"
"midweek","7","193","5.263","NN"
"Midwest","7","4,900","8.497","NN|JJ"
"Midwestern","10","1,236","7.120","JJ"
"midwesterners","13","35","3.555","NN"
"midwife","7","550","6.310","NN|VB"
"miff","4","59","4.078","VB|NN"
"miffed","6","377","5.932","JJ"
"might","5","277,738","12.534","VB|NN"
"mightiest","9","123","4.812","JJ"
"mightily","8","362","5.892","RB"
"mighty","6","7,688","8.947","JJ|NN"
"migraine","8","609","6.412","NN"
"migrant","7","226","5.421","JJ"
"migrants","8","284","5.649","NN"
"migrate","7","1,713","7.446","VB"
"migrated","8","1,235","7.119","VB"
"migrates","8","79","4.369","VB"
"migrating","9","1,157","7.054","VB"
"migration","9","3,706","8.218","NN"
"migratory","9","199","5.293","JJ"
"Miguel","6","3,718","8.221","NN"
"Mike","4","82,468","11.320","NN"
"Mike's","6","1,488","7.305","encl"
"milady","6","71","4.263","NN"
"Milan","5","2,630","7.875","NN"
"mild","4","5,333","8.582","JJ|NN"
"milder","6","350","5.858","JJ"
"mildew","6","306","5.724","NN"
"mildly","6","1,942","7.571","RB"
"mile","4","9,657","9.175","NN"
"mileage","7","4,430","8.396","NN"
"miler","5","102","4.625","NN"
"miles","5","35,566","10.479","NN"
"milestone","9","1,075","6.980","NN"
"milestones","10","528","6.269","NN"
"milieu","6","497","6.209","NN"
"militancy","9","130","4.868","NN"
"militant","8","1,471","7.294","JJ"
"militantly","10","56","4.025","RB"
"militarily","10","501","6.217","RB"
"militarism","10","163","5.094","NN"
"militarist","10","41","3.714","NN|JJ"
"militarist's","12","0","0.000","encl"
"militarization","14","76","4.331","NN"
"militarize","10","19","2.944","VB"
"military","8","47,865","10.776","JJ|NN"
"militia","7","7,003","8.854","NN"
"militiaman","10","146","4.984","NN"
"milk","4","15,195","9.629","NN|VB"
"milkmaid","8","16","2.773","NN"
"milkman","7","137","4.920","NN"
"milks","5","104","4.644","VB|NN"
"milkshake","9","129","4.860","NN"
"milkweed","8","54","3.989","VB|JJ"
"milky","5","871","6.770","JJ|NN"
"mill","4","4,853","8.487","NN"
"millenium","9","2,375","7.773","NN"
"millennia","9","488","6.190","NN"
"millennium","10","1,811","7.502","NN"
"miller","6","19,538","9.880","NN"
"Miller's","8","671","6.509","encl"
"milligram","9","56","4.025","NN"
"milligrams","10","246","5.505","NN"
"milliliter","10","53","3.970","NN"
"millimeter","10","349","5.855","NN"
"millinery","9","10","2.303","NN"
"milling","7","514","6.242","NN|VB"
"million","7","55,862","10.931","minor|NN"
"millionaire","11","1,092","6.996","NN"
"millionaires","12","736","6.601","NN"
"millionfold","11","2","0.693","JJ"
"millions","8","16,751","9.726","NN"
"millionth","9","220","5.394","JJ|NN"
"millipede","9","164","5.100","NN"
"mills","5","4,695","8.454","NN"
"millstone","9","2,775","7.928","NN"
"millwheel","9","0","0.000","NN"
"milt","4","816","6.704","NN"
"Milton","6","3,629","8.197","NN"
"Miltonic","8","3","1.099","JJ"
"Milton's","8","79","4.369","encl"
"Milwaukee","9","4,826","8.482","NN"
"Milwaukee's","11","80","4.382","encl"
"mime","4","9,918","9.202","NN|VB"
"mimeograph","10","27","3.296","NN"
"mimesis","7","23","3.135","NN"
"mimetic","7","18","2.890","JJ"
"mimic","5","958","6.865","VB"
"mimicry","7","75","4.317","NN"
"mimosa","6","249","5.517","NN"
"minarets","8","33","3.497","NN"
"mince","5","276","5.620","VB|NN"
"minced","6","775","6.653","VB"
"mincemeat","9","95","4.554","NN"
"mincer","6","30","3.401","NN"
"mincing","7","85","4.443","VB|JJ"
"mind","4","131,156","11.784","NN|VB"
"minded","6","4,469","8.405","VB"
"minder","6","357","5.878","NN"
"mindful","7","335","5.814","JJ"
"mindless","8","2,673","7.891","JJ"
"minds","5","13,940","9.543","NN|VB"
"mind's","6","909","6.812","encl"
"mine","4","89,230","11.399","NN|VB|minor"
"mined","5","437","6.080","VB"
"minefield","9","220","5.394","NN"
"minelayer","9","24","3.178","NN"
"miner","5","931","6.836","NN"
"mineral","7","2,764","7.924","NN|JJ"
"mineralized","11","35","3.555","JJ"
"mineralogical","13","35","3.555","JJ"
"mineralogies","12","1","0.000","NN"
"mineralogist","12","25","3.219","NN"
"mineralogy","10","79","4.369","NN"
"minerals","8","2,403","7.784","NN"
"miners","6","915","6.819","NN"
"Minerva","7","376","5.930","NN"
"mines","5","5,279","8.571","NN|VB"
"minestrone","10","34","3.526","NN"
"minesweeper","11","256","5.545","NN"
"mingle","6","329","5.796","VB"
"mingled","7","310","5.737","VB"
"mingles","7","38","3.638","VB"
"mingling","8","229","5.434","VB"
"mini","4","7,238","8.887","NN|JJ"
"miniature","9","2,249","7.718","JJ|NN"
"miniatures","10","1,649","7.408","NN"
"minibus","7","77","4.344","NN"
"minimal","7","9,517","9.161","JJ"
"minimally","9","550","6.310","RB"
"minimize","8","4,355","8.379","VB"
"minimized","9","1,203","7.093","VB"
"minimizes","9","455","6.120","VB"
"minimizing","10","803","6.688","VB|NN|JJ"
"minimum","7","87,433","11.379","NN|JJ"
"mining","6","3,567","8.179","NN|VB"
"minion","6","2,086","7.643","NN"
"miniscule","9","713","6.569","JJ"
"minister","8","22,530","10.023","NN|VB"
"ministered","10","54","3.989","VB"
"ministerial","11","567","6.340","JJ"
"ministers","9","3,582","8.184","NN|VB"
"minister's","10","574","6.353","encl"
"ministrations","13","188","5.236","NN"
"ministries","10","1,025","6.932","NN"
"ministry","8","9,402","9.149","NN"
"mink","4","582","6.366","NN"
"minks","5","251","5.525","NN"
"Minneapolis","11","6,301","8.748","NN"
"Minnesota","9","9,316","9.139","NN"
"Minnesota's","11","108","4.682","encl"
"Minnie","6","703","6.555","NN"
"minnow","6","131","4.875","NN"
"minor","5","26,175","10.173","JJ|NN"
"minorities","10","5,989","8.698","NN"
"minority","8","13,393","9.502","NN"
"minors","6","2,861","7.959","NN"
"minotaur","8","1,968","7.585","NN"
"minstrel","8","223","5.407","NN"
"minstrels","9","67","4.205","NN"
"mint","4","84,435","11.344","NN|VB"
"minter","6","223","5.407","NN"
"minuet","6","677","6.518","NN"
"minus","5","4,181","8.338","minor|VB"
"minuscule","9","246","5.505","JJ"
"minute","6","29,713","10.299","NN"
"minutely","8","85","4.443","RB"
"minuteman","9","189","5.242","NN"
"minutemen","9","297","5.694","NN"
"minutes","7","63,627","11.061","NN|VB"
"minute's","8","30","3.401","encl"
"minutiae","8","88","4.477","NN"
"minx","4","145","4.977","NN"
"miracle","7","5,864","8.677","NN"
"miracles","8","2,502","7.825","NN"
"miraculous","10","980","6.888","JJ"
"miraculously","12","533","6.279","RB"
"mirage","6","1,781","7.485","NN"
"mire","4","427","6.057","NN|VB"
"Miriam","6","889","6.790","NN"
"Miriam's","8","19","2.944","encl"
"mirror","6","27,107","10.208","NN|VB"
"mirrored","8","1,950","7.576","VB"
"mirrors","7","8,168","9.008","VB|NN"
"mirth","5","375","5.927","NN"
"mirthless","9","11","2.398","JJ"
"misadventure","12","63","4.143","NN"
"misadvise","9","10","2.303","VB"
"misalignment","12","137","4.920","NN"
"misalliance","11","2","0.693","NN"
"misanthrope","11","150","5.011","NN"
"misanthropic","12","83","4.419","JJ"
"misanthropy","11","56","4.025","NN"
"misapplication","14","97","4.575","NN"
"misapply","8","14","2.639","VB"
"misapprehend","12","14","2.639","VB"
"misapprehension","15","139","4.934","NN"
"misappropriate","14","10","2.303","VB"
"misbegotten","11","80","4.382","JJ|VB"
"misbehave","9","172","5.147","VB"
"misbehavior","11","211","5.352","NN"
"misbranded","10","3","1.099","VB"
"miscalculate","12","8","2.079","VB"
"miscalculated","13","104","4.644","VB|JJ"
"miscalculation","14","112","4.718","NN"
"miscalculations","15","34","3.526","NN"
"miscall","7","11","2.398","NN"
"miscarriage","11","923","6.828","NN"
"miscarried","10","126","4.836","VB"
"miscarry","8","70","4.248","VB"
"miscast","7","59","4.078","VB|JJ"
"miscellaneous","13","6,694","8.809","JJ|NN"
"miscellanies","12","3","1.099","NN"
"mischance","9","3","1.099","NN"
"mischief","8","830","6.721","NN"
"mischievous","11","301","5.707","JJ"
"misconceive","11","6","1.792","VB"
